,Time,Topics,pos/neu/neg
214,2021-12-01 16:00:48+00:00,news,negative
215,2021-12-01 16:00:31+00:00,news,neutral
216,2021-12-01 16:00:30+00:00,news,negative
217,2021-12-01 16:00:23+00:00,news,negative
218,2021-12-01 16:00:19+00:00,news,positive
220,2021-12-01 16:00:12+00:00,news,neutral
221,2021-12-01 16:00:05+00:00,news,neutral
224,2021-12-01 16:00:00+00:00,news,neutral
225,2021-12-01 15:59:38+00:00,news,neutral
226,2021-12-01 15:58:53+00:00,news,neutral
227,2021-12-01 15:58:28+00:00,news,neutral
228,2021-12-01 15:58:22+00:00,pro vax,positive
229,2021-12-01 15:57:22+00:00,news,neutral
230,2021-12-01 15:57:05+00:00,news,neutral
231,2021-12-01 15:56:13+00:00,news,neutral
232,2021-12-01 15:55:44+00:00,news,neutral
234,2021-12-01 15:55:34+00:00,news,positive
235,2021-12-01 15:55:29+00:00,news,neutral
236,2021-12-01 15:55:15+00:00,infections,positive
237,2021-12-01 15:54:47+00:00,news,positive
238,2021-12-01 15:54:26+00:00,news,negative
239,2021-12-01 15:54:19+00:00,news,neutral
240,2021-12-01 15:54:05+00:00,news,neutral
241,2021-12-01 15:53:58+00:00,pro vax,neutral
242,2021-12-01 15:53:26+00:00,news,negative
243,2021-12-01 15:53:19+00:00,vaccine effects,negative
244,2021-12-01 15:53:15+00:00,news,negative
247,2021-12-01 15:51:49+00:00,news,neutral
248,2021-12-01 15:50:26+00:00,news,neutral
249,2021-12-01 15:50:12+00:00,pandemic effects,neutral
250,2021-12-01 15:49:32+00:00,news,neutral
251,2021-12-01 15:49:29+00:00,news,neutral
252,2021-12-01 15:49:23+00:00,news,neutral
253,2021-12-01 15:49:20+00:00,vaccine effects,neutral
254,2021-12-01 15:48:59+00:00,news,neutral
255,2021-12-01 15:48:49+00:00,news,neutral
256,2021-12-01 15:48:41+00:00,news,neutral
258,2021-12-01 15:48:22+00:00,news,neutral
259,2021-12-01 15:48:13+00:00,pro vax,positive
260,2021-12-01 15:47:45+00:00,news,neutral
261,2021-12-01 15:47:30+00:00,news,neutral
262,2021-12-01 15:47:14+00:00,pro vax,positive
263,2021-12-01 15:47:05+00:00,vaccine effects,negative
265,2021-12-01 15:46:32+00:00,vaccine effects,negative
266,2021-12-01 15:45:56+00:00,news,positive
269,2021-12-01 15:45:30+00:00,news,neutral
270,2021-12-01 15:45:23+00:00,vaccine effects,negative
271,2021-12-01 15:44:55+00:00,vaccine effects,positive
273,2021-12-01 15:44:50+00:00,news,positive
274,2021-12-01 15:44:49+00:00,vaccine effects,negative
275,2021-12-01 15:44:25+00:00,news,neutral
276,2021-12-01 15:44:00+00:00,vaccine effects,neutral
277,2021-12-01 15:43:53+00:00,news,neutral
278,2021-12-01 15:43:33+00:00,anti vaccine,neutral
279,2021-12-01 15:43:31+00:00,pro vax,positive
280,2021-12-01 15:43:24+00:00,news,neutral
281,2021-12-01 15:42:34+00:00,vaccine effects,negative
282,2021-12-01 15:42:18+00:00,news,neutral
283,2021-12-01 15:41:48+00:00,pro vax,positive
284,2021-12-01 15:41:35+00:00,joke,positive
286,2021-12-01 15:41:28+00:00,news,neutral
287,2021-12-01 15:41:09+00:00,news,neutral
